,P7_FIC_104/PID/PV.CV,P7_FIC_103/PID/PV.CV,P7_FIC_105/PID/PV.CV,,P7_TIC_102/PID/PV.CV,P7_TIC_202/PID/PV.CV,P7_FIC_103/PID/PV.CV,P7_LIC_201/PID/PV.CV,,P7_LIC_301/PID/PV.CV,P7_LIC_101/PID/PV.CV
14:54:39,4.804066181,5.845122814,15.00343037,,72.94235229,71.35025024,5.845122814,0.2008297,,0.195331305,0.201355398
14:54:40,4.801767826,5.906033039,14.98983955,,72.96386719,71.35025024,5.906033039,0.200840399,,0.192616895,0.201334
14:54:41,4.80537796,5.885443211,14.99557018,,72.98538208,71.35025024,5.885443211,0.200894102,,0.194633901,0.201334
14:54:42,4.78070879,5.885173798,14.98268032,,73.00689697,71.35025024,5.885173798,0.200743899,,0.195867702,0.201237395
14:54:43,4.766839027,5.852671146,15.00129032,,73.04992676,71.32874298,5.852671146,0.200486407,,0.196672395,0.201172993
14:54:44,4.746620178,5.888656139,14.99699974,,73.07144165,71.32874298,5.888656139,0.200722396,,0.194440797,0.201097906
14:54:45,4.758562088,5.851593018,14.97264957,,73.09295654,71.32874298,5.851593018,0.200679496,,0.195245504,0.201022804
14:54:46,4.752594948,5.766373158,14.98768997,,73.11447144,71.32874298,5.766373158,0.200733095,,0.195009395,0.200947702
14:54:47,4.750271797,5.746654034,15.00844002,,73.13598633,71.32874298,5.746654034,0.200582907,,0.1946017,0.2008297
14:54:48,4.745292187,5.869884968,14.99913979,,73.13598633,71.32874298,5.869884968,0.200454205,,0.194194004,0.200733095
14:54:49,4.750605106,5.716119766,14.99341965,,73.15750122,71.32874298,5.716119766,0.200454205,,0.193936497,0.200657994
14:54:50,4.755579948,5.777843952,14.97552013,,73.17902374,71.32874298,5.777843952,0.200379103,,0.194751903,0.200582907
14:54:51,4.750605106,5.842155933,15.00129032,,73.17902374,71.32874298,5.842155933,0.200025007,,0.195181102,0.200497106
14:54:52,4.75126791,5.827565193,15.00629044,,73.20053101,71.32874298,5.827565193,0.200196698,,0.194902107,0.200475603
14:54:53,4.767168999,5.804522991,15.00485992,,73.22205353,71.30722046,5.804522991,0.200132295,,0.191812202,0.200411305
14:54:54,4.759224892,5.781117916,14.9848299,,73.24356079,71.30722046,5.781117916,0.200067997,,0.190717801,0.200336203
14:54:55,4.767829895,5.834053993,14.95042038,,73.26508331,71.32874298,5.834053993,0.199831903,,0.193797007,0.200218201
14:54:56,4.775430202,5.851593018,14.99843025,,73.26508331,71.32874298,5.851593018,0.199992895,,0.194945097,0.200132295
14:54:57,4.790919781,5.874986172,15.02130032,,73.26508331,71.32874298,5.874986172,0.199831903,,0.193196207,0.200046495
14:54:58,4.80537796,5.804794788,14.98268032,,73.28659058,71.32874298,5.804794788,0.199810505,,0.194591001,0.200025007
14:54:59,4.822082043,5.802620888,14.99127007,,73.3081131,71.32874298,5.802620888,0.199756801,,0.194172502,0.199939206
14:55:00,4.836444855,5.800992012,15.01058006,,73.32962036,71.32874298,5.800992012,0.199810505,,0.193689704,0.199853405
14:55:01,4.843286991,5.832433224,14.99699974,,73.35114288,71.32874298,5.832433224,0.199874803,,0.1934966,0.199756801
14:55:02,4.835142136,5.851054192,15.00343037,,73.39417267,71.32874298,5.851054192,0.199671,,0.194161803,0.199810505
14:55:03,4.824369907,5.933996201,15.00485992,,73.41567993,71.32874298,5.933996201,0.199735299,,0.192831397,0.199692398
14:55:04,4.802752972,5.899355888,14.99557018,,73.45870972,71.32874298,5.899355888,0.1997675,,0.194912896,0.199552998
14:55:05,4.798483849,5.931603909,15.02130032,,73.48021698,71.35025024,5.931603909,0.199671,,0.194955796,0.199552998
14:55:06,4.784335136,5.92468977,14.99199009,,73.5017395,71.35025024,5.92468977,0.199810505,,0.1946446,0.199638799
14:55:07,4.773118019,5.947529793,14.96977997,,73.54476929,71.35025024,5.947529793,0.199509993,,0.192370102,0.199606597
14:55:08,4.793551922,5.93240118,14.9604702,,73.58779907,71.35025024,5.93240118,0.199542195,,0.195535094,0.199746102
14:55:09,4.811279774,5.928946018,14.98911953,,73.63082886,71.37177277,5.928946018,0.199810505,,0.194462299,0.199756801
14:55:10,4.808330059,5.979255199,14.98768997,,73.65234375,71.37177277,5.979255199,0.199638799,,0.194161803,0.199810505
14:55:11,4.811279774,5.92522192,14.99485016,,73.69537354,71.37177277,5.92522192,0.199617296,,0.192166299,0.199853405
14:55:12,4.798483849,5.895078182,14.99341965,,73.73840332,71.37177277,5.895078182,0.199703202,,0.192005306,0.199842602
14:55:13,4.822082043,5.967905998,14.97264957,,73.78143311,71.39328003,5.967905998,0.199467093,,0.194161803,0.199949905
14:55:14,4.844263077,5.899355888,14.98768997,,73.802948,71.39328003,5.899355888,0.199467093,,0.193861395,0.199939206
14:55:15,4.856289864,5.951769829,15.01344013,,73.84597778,71.39328003,5.951769829,0.199434906,,0.193646803,0.199992895
14:55:16,4.873141766,5.918299198,14.99913979,,73.86749268,71.39328003,5.918299198,0.199188203,,0.192616895,0.200078696
14:55:17,4.867962837,5.977674007,14.99843025,,73.88900757,71.39328003,5.977674007,0.198909193,,0.192541793,0.200196698
14:55:18,4.86115694,5.956799984,15.00557995,,73.91052246,71.39328003,5.956799984,0.198919997,,0.194430098,0.200314701
14:55:19,4.851092815,5.937979221,15.00199986,,73.93203735,71.41478729,5.937979221,0.198823407,,0.192681193,0.2003254
14:55:20,4.85239315,5.970811844,15.01844025,,73.93203735,71.41478729,5.970811844,0.198759004,,0.195781901,0.200379103
14:55:21,4.848492146,5.992160797,15.00129032,,73.95355225,71.43630981,5.992160797,0.198834106,,0.193239093,0.200411305
14:55:22,4.868287086,5.943021774,14.99771023,,73.97506714,71.43630981,5.943021774,0.198576599,,0.193378597,0.200454205
14:55:23,4.869582176,5.948591232,15.01558018,,73.99658203,71.43630981,5.948591232,0.198694602,,0.192584693,0.200540006
14:55:24,4.872495174,5.972130775,15.00485992,,74.01809692,71.45781708,5.972130775,0.198780507,,0.193668306,0.200647295
14:55:25,4.869257927,5.945408821,15.0005703,,74.03961182,71.45781708,5.945408821,0.198651701,,0.1934966,0.200636595
14:55:26,4.86115694,5.870153904,15.0005703,,74.0826416,71.45781708,5.870153904,0.198523,,0.195191801,0.200657994
14:55:27,4.873788834,5.96764183,14.99485016,,74.12567139,71.45781708,5.96764183,0.198555097,,0.194902107,0.200733095
14:55:28,4.898633003,5.963677883,14.99627972,,74.14718628,71.4793396,5.963677883,0.198512197,,0.193646803,0.200797498
14:55:29,4.921751022,5.976617813,14.99269962,,74.16870117,71.50084686,5.976617813,0.198512197,,0.193432301,0.200861901
14:55:30,4.914378166,6.02888298,15.00844002,,74.19022369,71.50084686,6.02888298,0.198651701,,0.195052296,0.200915501
14:55:31,4.913415909,5.958124161,14.99771023,,74.23325348,71.50084686,5.958124161,0.198415697,,0.194784105,0.200979903
14:55:32,4.922391891,5.928946018,15.00271988,,74.25476074,71.50084686,5.928946018,0.198458597,,0.194977194,0.200969204
14:55:33,4.921431065,5.908167839,14.9819603,,74.27628326,71.52236938,5.908167839,0.198523,,0.196189597,0.201055005
14:55:34,4.941253185,5.912969112,15.00771999,,74.29779053,71.52236938,5.912969112,0.198329806,,0.196114495,0.201183796
14:55:35,4.952407837,5.931338787,14.98268032,,74.34082031,71.52236938,5.931338787,0.198523,,0.195320606,0.201226696
14:55:36,4.954954147,5.904697895,14.98983955,,74.36234283,71.54387665,5.904697895,0.198469296,,0.196329102,0.201140895
14:55:37,4.938698769,5.806695938,15.00271988,,74.40535736,71.54387665,5.806695938,0.198533699,,0.194923595,0.201205194
14:55:38,4.921751022,5.819443226,14.99199009,,74.42687988,71.54387665,5.819443226,0.198705405,,0.195159599,0.201183796
14:55:39,4.925272942,5.840266228,15.00986958,,74.46990967,71.56539917,5.840266228,0.198512197,,0.194151103,0.201087207
